sender_email,subject,body,label
it@office.com,Workshop Registration Confirmation,Your refund has been processed and will reflect in your account within 3 working days.,0
careers@startup.in,Exam Timetable Notification,Please return the borrowed books before the due date.,0
ceo@company-secure.com,Urgent Password Reset,Your bank account will be permanently suspended if not verified.,1
customer.service@airlines.com,Refund Processed Successfully,Please return the borrowed books before the due date.,0
placements@college.edu,System Maintenance Notice,Please return the borrowed books before the due date.,0
security@bank-alerts.co,Verify Your Account Immediately,Failure to respond within 24 hours will result in account deletion.,1
support@amazon.in,Salary Credit Notification,Your refund has been processed and will reflect in your account within 3 working days.,0
placements@college.edu,Campus Recruitment Drive,Your salary for this month has been credited successfully.,0
placements@college.edu,Interview Invitation,"Dear Candidate, We are pleased to invite you for the next round of interview.",0
ceo@company-secure.com,Confidential Fund Transfer,We detected unusual activity. Confirm your password now to avoid suspension.,1
admin@verify-account.org,Tax Refund Available,Click the secure link below to restore account access.,1
service@insurance.com,Policy Renewal Reminder,Scheduled maintenance will occur this Sunday from 1 AM to 4 AM.,0
admin@verify-account.org,Confidential Fund Transfer,Your bank account will be permanently suspended if not verified.,1
finance@urgent-transfer.com,Verify Your Account Immediately,You have won a cash reward. Claim it before it expires.,1
ceo@company-secure.com,Update Banking Details,Your account has been locked. Click here immediately to verify your identity.,1
reward@claim-bonus-now.com,Security Alert,We detected unusual activity. Confirm your password now to avoid suspension.,1
noreply@linkedin.com,System Maintenance Notice,Your refund has been processed and will reflect in your account within 3 working days.,0
admin@verify-account.org,Account Suspended,We detected unusual activity. Confirm your password now to avoid suspension.,1
admin@verify-account.org,Urgent Password Reset,You have won a cash reward. Claim it before it expires.,1
finance@urgent-transfer.com,Urgent Password Reset,Click the secure link below to restore account access.,1
customer.service@airlines.com,Order Delivery Confirmation,The semester examination timetable has been uploaded to the official website.,0
billing@electricityboard.in,Campus Recruitment Drive,Please return the borrowed books before the due date.,0
noreply@linkedin.com,Library Due Reminder,Please return the borrowed books before the due date.,0
it@office.com,Interview Invitation,Your insurance policy is due for renewal next month.,0
support@paypaI.com,Confidential Fund Transfer,Failure to respond within 24 hours will result in account deletion.,1
placements@college.edu,Policy Renewal Reminder,We have received your invoice payment. Thank you for your business.,0
support@paypaI.com,Tax Refund Available,Your account has been locked. Click here immediately to verify your identity.,1
accounts@bankofindia.in,System Maintenance Notice,We have received your invoice payment. Thank you for your business.,0
reward@claim-bonus-now.com,Confidential Fund Transfer,Failure to respond within 24 hours will result in account deletion.,1
hr@company.com,Campus Recruitment Drive,Your insurance policy is due for renewal next month.,0
security@bank-alerts.co,You Won a Prize,Submit your personal details now to receive your tax refund.,1
update@official-verification.com,Account Suspended,Transfer the requested funds immediately and confirm once completed.,1
ceo@company-secure.com,Account Suspended,Submit your personal details now to receive your tax refund.,1
library@college.edu,Application Received Confirmation,Your refund has been processed and will reflect in your account within 3 working days.,0
alert@secure-login.net,Verify Your Account Immediately,Your account has been locked. Click here immediately to verify your identity.,1
ceo@company-secure.com,Update Banking Details,Provide your OTP to complete the verification process.,1
placements@college.edu,Application Received Confirmation,"Dear Candidate, We are pleased to invite you for the next round of interview.",0
lottery@win-big-now.com,Exclusive Bonus Reward,You have won a cash reward. Claim it before it expires.,1
registrar@university.edu,Refund Processed Successfully,Your recent order has been successfully delivered. Thank you for shopping with us.,0
accounts@bankofindia.in,Invoice Payment Received,Please attend the scheduled meeting tomorrow at 2 PM in the conference hall.,0
alert@secure-login.net,Security Alert,Your bank account will be permanently suspended if not verified.,1
registrar@university.edu,Refund Processed Successfully,"Dear Candidate, We are pleased to invite you for the next round of interview.",0
notice@tax-refund-alert.com,Exclusive Bonus Reward,Your account has been locked. Click here immediately to verify your identity.,1
support@paypaI.com,Confidential Fund Transfer,Your account has been locked. Click here immediately to verify your identity.,1
careers@startup.in,Campus Recruitment Drive,Your flight booking has been confirmed. Please carry valid ID proof.,0
finance@urgent-transfer.com,Exclusive Bonus Reward,Provide your OTP to complete the verification process.,1
admin@verify-account.org,Confidential Fund Transfer,Provide your OTP to complete the verification process.,1
accounts@bankofindia.in,Library Due Reminder,Please return the borrowed books before the due date.,0
security@bank-alerts.co,Update Banking Details,Click the secure link below to restore account access.,1
support@paypaI.com,You Won a Prize,Failure to respond within 24 hours will result in account deletion.,1
billing@electricityboard.in,System Maintenance Notice,We have received your invoice payment. Thank you for your business.,0
security@bank-alerts.co,Exclusive Bonus Reward,Transfer the requested funds immediately and confirm once completed.,1
billing@electricityboard.in,Policy Renewal Reminder,Your recent order has been successfully delivered. Thank you for shopping with us.,0
lottery@win-big-now.com,Verify Your Account Immediately,Click the secure link below to restore account access.,1
library@college.edu,Exam Timetable Notification,Please return the borrowed books before the due date.,0
accounts@bankofindia.in,System Maintenance Notice,"Dear Candidate, We are pleased to invite you for the next round of interview.",0
finance@urgent-transfer.com,You Won a Prize,Transfer the requested funds immediately and confirm once completed.,1
registrar@university.edu,Policy Renewal Reminder,Your refund has been processed and will reflect in your account within 3 working days.,0
accounts@company.com,Exam Timetable Notification,Please attend the scheduled meeting tomorrow at 2 PM in the conference hall.,0
support@amazon.in,Admission Confirmation Letter,The semester examination timetable has been uploaded to the official website.,0
reward@claim-bonus-now.com,Account Suspended,Your bank account will be permanently suspended if not verified.,1
support@paypaI.com,Update Banking Details,Your account has been locked. Click here immediately to verify your identity.,1
support@paypaI.com,Tax Refund Available,Your bank account will be permanently suspended if not verified.,1
admin@college.edu,Interview Invitation,"Dear Candidate, We are pleased to invite you for the next round of interview.",0
library@college.edu,Interview Invitation,Your flight booking has been confirmed. Please carry valid ID proof.,0
billing@electricityboard.in,Exam Timetable Notification,We have received your invoice payment. Thank you for your business.,0
it@office.com,Invoice Payment Received,We have received your invoice payment. Thank you for your business.,0
library@college.edu,Invoice Payment Received,Your flight booking has been confirmed. Please carry valid ID proof.,0
notice@tax-refund-alert.com,Tax Refund Available,Failure to respond within 24 hours will result in account deletion.,1
finance@urgent-transfer.com,Security Alert,We detected unusual activity. Confirm your password now to avoid suspension.,1
noreply@linkedin.com,Flight Ticket Confirmation,Your salary for this month has been credited successfully.,0
registrar@university.edu,Policy Renewal Reminder,Scheduled maintenance will occur this Sunday from 1 AM to 4 AM.,0
admin@verify-account.org,Update Banking Details,We detected unusual activity. Confirm your password now to avoid suspension.,1
reward@claim-bonus-now.com,Confidential Fund Transfer,Transfer the requested funds immediately and confirm once completed.,1
notice@tax-refund-alert.com,Immediate Action Required,We detected unusual activity. Confirm your password now to avoid suspension.,1
it@office.com,Admission Confirmation Letter,Your admission has been confirmed. Kindly complete the remaining formalities.,0
ceo@company-secure.com,Update Banking Details,Click the secure link below to restore account access.,1
billing@electricityboard.in,Exam Timetable Notification,Your admission has been confirmed. Kindly complete the remaining formalities.,0
registrar@university.edu,Library Due Reminder,Your salary for this month has been credited successfully.,0
ceo@company-secure.com,Update Banking Details,Click the secure link below to restore account access.,1
finance@urgent-transfer.com,Confidential Fund Transfer,Click the secure link below to restore account access.,1
placements@college.edu,Flight Ticket Confirmation,Scheduled maintenance will occur this Sunday from 1 AM to 4 AM.,0
admin@verify-account.org,Immediate Action Required,You have won a cash reward. Claim it before it expires.,1
library@college.edu,Library Due Reminder,Your refund has been processed and will reflect in your account within 3 working days.,0
finance@urgent-transfer.com,Update Banking Details,Your bank account will be permanently suspended if not verified.,1
